,Date,Gross,%Gross Pot, Attendance,%Capacity,%Previews,%Perf
0,"Nov 27, 2016","$662,978",64%,"6,983",87%,0,8
1,"Nov 20, 2016","$538,271",56%,"6,325",79%,0,8
2,"Nov 13, 2016","$563,605",58%,"6,448",81%,0,8
3,"Nov 6, 2016","$445,157",46%,"5,545",69%,0,8
4,"Oct 30, 2016","$445,600",46%,"5,182",65%,0,8
5,"Oct 23, 2016","$473,761",49%,"5,613",70%,0,8
6,"Oct 16, 2016","$486,226",50%,"6,488",81%,0,8
7,"Oct 9, 2016","$404,315",42%,"6,607",83%,3,5
8,"Oct 2, 2016","$363,475",38%,"6,117",77%,8,0
9,"Sep 25, 2016","$359,828",38%,"5,228",65%,8,0
10,"Sep 18, 2016","$401,139",41%,"5,813",73%,8,0
11,"Sep 11, 2016","$276,244",32%,"4,126",59%,7,0
12,"Sep 4, 2016","$165,392",34%,"2,885",72%,4,0
