,Date,Gross,%Gross Pot, Attendance,%Capacity,%Previews,%Perf
0,"Nov 27, 2016","$618,812",82%,"6,276",86%,0,8
1,"Nov 20, 2016","$503,823",67%,"5,970",82%,0,8
2,"Nov 13, 2016","$540,865",72%,"6,254",86%,0,8
3,"Nov 6, 2016","$485,191",64%,"5,752",79%,0,8
4,"Oct 30, 2016","$492,715",66%,"6,207",85%,0,8
5,"Oct 23, 2016","$545,028",72%,"6,286",86%,0,8
6,"Oct 16, 2016","$464,656",62%,"6,278",86%,0,8
7,"Oct 9, 2016","$416,495",57%,"6,066",83%,8,0
8,"Oct 2, 2016","$396,561",61%,"5,243",82%,7,0
9,"Sep 25, 2016","$247,237",86%,"2,456",90%,3,0
