,Date,Gross,%Gross Pot, Attendance,%Capacity,%Previews,%Perf
0,"Nov 27, 2016","$1,306,273",96%,"9,275",98%,0,8
1,"Nov 20, 2016","$1,249,794",94%,"9,086",96%,0,8
2,"Nov 13, 2016","$1,253,703",94%,"9,461",100%,0,8
3,"Nov 6, 2016","$1,282,500",96%,"9,568",102%,0,8
4,"Oct 30, 2016","$1,242,292",93%,"9,469",101%,0,8
5,"Oct 23, 2016","$1,104,890",84%,"9,545",101%,3,5
6,"Oct 16, 2016","$1,278,807",100%,"9,507",101%,8,0
7,"Oct 9, 2016","$1,221,425",97%,"9,446",100%,8,0
8,"Oct 2, 2016","$1,083,934",98%,"8,336",101%,7,0
9,"Sep 25, 2016","$921,998",97%,"7,177",102%,6,0
