,ACT,Sung By
0,Arabian Nights,Genie and Company
1,One Jump Ahead ,Aladdin and Ensemble
2,Proud of Your Boy,Aladdin
3,These Palace Walls ,Jasmine and Female Attendants
4,"Babkak, Omar, Aladdin, Kassim","Babkak, Omar, Aladdin, Kassim, Jasmine and Ensemble"
5,A Million Miles Away ,Aladdin and Jasmine
6,Diamond in the Rough ,"Jafar, Iago and Aladdin"
7,Friend Like Me,"Genie, Aladdin and Ensemble"
8,Friend Like Me/Proud of Your Boy ,Genie and Aladdin
9,Prince Ali,"Babkak, Omar, Kassim, Genie and Ensemble"
10,A Whole New World ,Aladdin and Jasmine
11,High Adventure,"Babkak, Omar, Kassim and Ensemble"
12,Somebody's Got Your Back ,"Genie, Aladdin, Babkak, Omar and Kassim"
13,Proud of Your Boy ,Aladdin
14,Prince Ali ,"Sultan, Jafar and Company"
15,Arabian Nights/A Whole New World ,Company
