,ACT,Sung By
0,Jellicle Songs for Jellicle Cats ,Company
1,The Naming of Cats,Company
2,Invitation to the Jellicle Ball,"Victoria, Mistoffelees and Munkustrap"
3,The Old Gumbie Cat,"Munkustrap, Jennyanydots, Jellylorum, Demeter and Bombalurina"
4,The Rum Tum Tugger,Rum Tum Tugger and Company
5,Entry of Grizabella,"Grizabella, Demeter, Bombalurina and Company"
6,Bustopher Jones: The Cat About Town,"Bustopher Jones, Jennyanydots, Bombalurina, Jellylorum and Company"
7,Mungojerrie and Rumpelteazer,Mungojerrie and Rumpelteazer
8,Old Deuteronomy,"Munkustrap, Rum Tum Tugger and Old Deuteronomy"
9,Song of the Jellicles and the Jellicle Ball,Company
10,Memory ,Grizabella
11,Introduction to Act II/The Moments of Happiness,Old Deuteronomy and Sillabub
12,Gus the Theatre Cat,Jellylorum and Asparagus
13,The Awefull Battle of the Pekes and the Pollicles,"Asparagus, Old Deuteronomy, Munkustrap and Company"
14,Skimbleshanks the Railway Cat,Skimbleshanks and Company
15,"Macavity, The Mystery Cat","Demeter, Bombalurina and Company"
16,Magical Mister Mistoffelees,"Mistoffelees, Rum Tum Tugger and Company"
17,Memory ,"Sillabub, Munkustrap and Grizabella"
18,Journey to the Heaviside Layer,Company
19,The Ad-dressing of Cats,Old Deuteronomy and Company
