,ACT,Sung By
0,Alexander Hamilton,
1,My Shot,
2,The Story of Tonight,
3,The Schuyler Sisters,
4,Farmer Refuted,
5,You'll Be Back,
6,Right Hand Man,
7,Helpless,
8,Satisfied,
9,Wait for It,
10,Stay Alive,
11,Ten Duel Commandments,
12,That Would Be Enough,
13,History Has Its Eyes on You,
14,Yorktown,
15,Dear Theodosia,
16,Non-Stop,
17,What'd I Miss,
18,Take a Break,
19,Say No to This,
20,The Room Where It Happens,
21,Schuyler Defeated,
22,Washington on Your Side,
23,One Last Time,
24,The Adams Administration,
25,Hurricane,
26,The Reynolds Pamphlet,
27,Burn,
28,Blow Us All Away,
29,It's Quiet Uptown,
30,The Election of 1800,
31,Your Obedient Servant,
32,The World Was Wide Enough,
33,Finale,
