,Date,Gross,%Gross Pot, Attendance,%Capacity,%Previews,%Perf
0,"Nov 27, 2016","$259,068",37%,"3,926",65%,0,8
1,"Nov 20, 2016","$239,584",34%,"3,351",55%,0,8
2,"Nov 13, 2016","$246,529",35%,"3,627",60%,0,8
3,"Nov 6, 2016","$246,547",35%,"3,711",61%,0,8
4,"Oct 30, 2016","$297,905",41%,"3,667",61%,0,8
5,"Oct 23, 2016","$347,331",48%,"3,972",66%,0,8
6,"Oct 16, 2016","$331,497",46%,"4,125",68%,0,8
7,"Oct 9, 2016","$336,865",46%,"4,948",82%,0,8
8,"Oct 2, 2016","$297,917",43%,"5,346",87%,3,5
9,"Sep 25, 2016","$325,531",47%,"5,708",93%,8,0
